technique, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, run, 3, Select, Yes, 4.6271, 0.0, 0.0108592484431, 0.380731821134, 0.38637904788, 4.60237194444, 0.99465581994
normal, traveling, 9, Select, Yes, 2.8192, 0.0, 0.106239920622, 0.100506868129, 0.271138225673, 25.8643788991, 9.17436822472
normal, to, 2, Select, Yes, 10.6468, 0.0, 0.0307064119153, 0.181299126013, 0.071470168602, 4.16893746857, 0.391567181554
normal, conferences, 11, Select, Yes, 4.2294, 0.0, 0.177446392641, 0.351431567441, 0.34076360621, 27.3755553534, 6.47268060562
normal, is, 2, Select, Yes, 4.2124, 0.0, 0.0272162155724, 0.367982428485, 0.323322991403, 5.28117352802, 1.25372080715
normal, fun, 3, Select, Yes, 3.2505, 0.0, 0.0132373820823, 0.0770187219447, 0.483079493878, 5.713555682, 1.75774671035
normal, the, 3, Select, Yes, 0.9289, 0.0, 0.0210745863566, 0.0989366197624, 0.176228569162, 5.91542036169, 6.36819933436
normal, capital, 7, Select, Yes, 3.3167, 0.0, 0.0962796602638, 0.82567089731, 0.015092866792, 27.6596765636, 8.33951715971
normal, of, 2, Select, Yes, 0.5635, 0.0, 0.000840349500924, 0.279357299403, 0.255318760887, 4.55884877491, 8.09023740002
normal, our, 3, Select, Yes, 0.5308, 0.0, 0.00188740593859, 0.372193282198, 0.342453688577, 4.95554382112, 9.33599062005
normal, nation, 6, Match, Yes, 1.8238, 0, 0.0283483203718, 0.31894926584, 0.199395918138, 15.5552128013, 8.52901239244
normal, the, 3, Select, Yes, 0.7463, 0.0, 0.00220347629076, 0.2053857357, 0.223890140151, 5.23862771142, 7.01946631571
normal, living, 6, Match, Yes, 1.8744, 0, 0.0666804556397, 0.281300412232, 0.16582495741, 15.0764008916, 8.04332100492
normal, is, 2, Select, Yes, 1.4099, 0.0, 0.00256597380016, 0.204960004455, 0.332307102905, 5.56315662348, 3.94578099403
normal, easy, 4, Select, Yes, 1.0614, 0.0, 0.0319754030667, 0.119638848181, 0.159092581002, 6.83496786587, 6.43957778959
normal, most, 4, Select, Yes, 1.2605, 0.0, 0.0736512965069, 0.326970351281, 0.0332004232654, 10.768113738, 8.54273204129
normal, judges, 6, Select, Yes, 1.7914, 0.0, 0.0914826259549, 0.287043338418, 0.233891985177, 12.3789971597, 6.91023621731
normal, are, 3, Select, Yes, 0.6964, 0.0, 0.00695750710658, 0.0359600296162, 0.536084343876, 3.77690003897, 5.42346358266
normal, very, 4, Select, Yes, 1.1109, 0.0, 0.00412922229739, 0.493961122837, 0.114187672618, 6.96022011402, 6.26538852644
normal, honest, 6, Select, Yes, 1.9408, 0.0, 0.043690833827, 0.0750924163748, 0.363687594446, 14.4385664272, 7.43949218218
normal, sad, 3, Match, Yes, 0.8293, 0, 0.00964789301313, 0.478686998982, 0.19830748328, 4.446632578, 5.36191074159
normal, to, 2, Select, Yes, 1.8408, 0.0, 0.0289728653226, 0.090808031919, 0.08620940295, 4.27502637322, 2.32237417059
normal, hear, 4, Select, Yes, 1.2937, 0.0, 0.00966184493446, 0.278117752143, 0.281918496864, 9.10745817811, 7.0398532721
normal, that, 4, Match, Yes, 1.443, 0, 0.0510841260722, 0.200246996567, 0.25778347571, 9.56899743326, 6.63132185257
normal, news, 4, Match, Yes, 1.8408, 0, 0.0130838854367, 0.287311025427, 0.251918018937, 6.85026748145, 3.72135347754
normal, this, 4, Select, Yes, 1.2936, 0.0, 0.0140152338445, 0.363610655445, 0.11629103502, 10.5802436413, 8.1789143795
normal, is, 2, Select, Yes, 15.9038, 0.0, 0.000495268697569, 0.133354682985, 0.39072825659, 5.85552212404, 0.368183838079
normal, a, 1, Select, Yes, 15.4228, 0.0, 0.0, 0.431360175691, 0.431360175691, 0, 0.0
normal, very, 4, Select, Yes, 16.2684, 0.0, 0.00588061862071, 0.332560928591, 0.22093757027, 5.55843037326, 0.341670377742
normal, good, 4, Match, Yes, 16.3518, 0, 0.0699870558806, 0.0910757420228, 0.347337705759, 8.97626023981, 0.54894630804
normal, idea, 4, Select, Yes, 17.6124, 0.0, 0.0152572053373, 0.312591030661, 0.270674239436, 7.55842427634, 0.429153566597
normal, do, 2, Select, Yes, 0.6136, 0.0, 0.000466494105773, 0.0390645175319, 0.492239687348, 6.07245655617, 9.89644158437
normal, you, 3, Select, Yes, 0.8127, 0.0, 0.0317429126404, 0.056804208242, 0.132818668661, 5.6462191943, 6.94748270493
normal, like, 4, Select, Yes, 1.1942, 0.0, 0.0219119243251, 0.785526399944, 0.181200216526, 8.26043776181, 6.91713093436
normal, to, 2, Select, Yes, 0.6303, 0.0, 0.0205423840931, 0.348088360887, 0.251163854203, 4.1986694195, 6.6613825472
normal, go, 2, Select, Yes, 0.5475, 0.0, 9.15749881538e-05, 0.374081573683, 0.05755692272, 3.34649332075, 6.11231656758
normal, camping, 7, Select, Yes, 2.9686, 0.0, 0.0790859974879, 0.296960626757, 0.928248736097, 18.7463751243, 6.31488753093
normal, did, 3, Select, Yes, 1.6915, 0.0, 0.0649260323593, 0.17428196061, 0.215737986757, 8.80235153531, 5.20387321035
normal, you, 3, Select, Yes, 0.8457, 0.0, 0.00238821229197, 0.283368513277, 0.117417234548, 5.1762115589, 6.12062381329
normal, see, 3, Select, Yes, 0.4146, 0.0, 0.000534669495103, 0.111494845428, 0.138676745134, 1.07832371043, 2.60087725621
normal, that, 4, Select, Yes, 1.4426, 0.0, 0.0204274350794, 0.218329444109, 0.124077205743, 9.43752236083, 6.54202298685
