technique, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length
dwell, odd, 3, Click, Yes, 1.9411, 2.9038, 0.163386048303, 6.13824367346
dwell, question, 8, Select, No, 12.0619, 1.659, 0.341136380552, 21.4063420731
dwell, insurance, 9, Click, Yes, 9.8033, 0.929, 0.242918136313, 27.0190464891
dwell, is, 2, Click, Yes, 1.2773, 1.0119, 0.280454175759, 5.97991051225
dwell, important, 9, Click, Yes, 8.5763, 1.0949, 0.263997496044, 21.9098312207
dwell, for, 3, Click, Yes, 2.2726, 1.161, 0.164278024069, 9.43760610422
dwell, bad, 3, Select, Yes, 3.4499, 3.8648, 0.447066352755, 6.40499105831
dwell, drivers, 7, Click, Yes, 13.5193, 0.0, 0.306704784947, 13.137651922
dwell, we, 2, Click, Yes, 1.1449, 1.5593, 0.316054014895, 1.5662681538
dwell, accept, 6, Click, No, 5.6402, 0.8791, 0.334423576137, 18.6964443636
dwell, personal, 8, Click, Yes, 10.251, 1.1277, 0.193587885696, 33.2180326683
dwell, checks, 6, Click, Yes, 5.1587, 0.0, 0.28445624826, 17.5730192201
dwell, important, 9, Click, No, 16.571, 1.0781, 1.70902453555, 24.8579371692
dwell, for, 3, Select, Yes, 11.876, 0.813, 0.274393854861, 9.00978227642
dwell, political, 9, Click, Yes, 21.328, 1.36, 0.267257010473, 22.8568569304
dwell, parties, 7, Select, Yes, 6.335, 1.46, 0.284203851394, 20.1139474501
dwell, most, 4, Click, Yes, 3.383, 1.028, 0.114383581236, 11.2269573244
dwell, judges, 6, Click, Yes, 4.975, 1.061, 0.249222088457, 9.96474738738
dwell, are, 3, Click, Yes, 1.857, 1.028, 0.169941381166, 4.20670290676
dwell, very, 4, Click, Yes, 3.234, 1.41, 0.226423483044, 6.14868302189
dwell, honest, 6, Click, Yes, 5.903, 0.0, 0.280158055084, 12.429864944
dwell, a, 1, Click, Yes, 0.0, 1.195, 0.0764102912768, 0
dwell, dog, 3, Click, Yes, 2.587, 1.078, 0.279090059531, 9.20421538325
dwell, is, 2, Click, Yes, 1.227, 0.928, 0.305788424468, 4.99043109454
dwell, the, 3, Click, Yes, 2.273, 0.962, 0.117852540793, 5.74330434613
dwell, best, 4, Click, Yes, 2.786, 0.863, 0.185641371332, 7.27676272818
dwell, friend, 6, Click, Yes, 5.324, 1.111, 0.294811751739, 16.4555006687
dwell, of, 2, Click, Yes, 1.178, 1.094, 0.290600372983, 4.03060321467
dwell, a, 1, Click, Yes, 0.0, 1.144, 0.128603045784, 0
dwell, man, 3, Click, Yes, 2.654, 0.0, 0.267354571983, 12.2417020309
dwell, do, 2, Click, Yes, 1.111, 1.128, 0.212447242391, 5.38316808276
dwell, not, 3, Click, Yes, 2.056, 1.261, 0.264573187044, 6.37006253985
dwell, walk, 4, Click, Yes, 3.001, 0.83, 0.145415288263, 10.785572364
dwell, too, 3, Click, Yes, 1.907, 1.343, 0.232526043686, 4.27848595144
dwell, quickly, 7, Click, Yes, 10.266, 0.0, 0.178899031495, 19.5762365483
dwell, it, 2, Click, Yes, 0.979, 1.094, 0.192086254589, 2.75571641705
dwell, is, 2, Click, No, 1.54, 1.244, 0.587024959547, 6.10140478201
dwell, difficult, 9, Click, No, 21.129, 0.812, 1.28751518761, 27.7090840297
dwell, to, 2, Click, Yes, 1.127, 1.029, 0.202207078744, 3.62299883831
