user, technique, session, index, phrase, rate, error, undo
ytl, normal, 1, 4, sent this by registered mail, 23.6009473158, 0.0, No
ytl, normal, 1, 5, this library has many books, 11.0999843152, 0.0, Yes
ytl, normal, 1, 6, what goes up must come down, 16.5343086905, 0.0, Yes
ytl, normal, 1, 7, the power of denial, 19.3450881612, 0.0, No
ytl, normal, 1, 8, on the way to the cottage, 17.0116246102, 0.0, No
ytl, normal, 1, 9, he is still on our team, 15.5117810541, 0.0, No
ytl, normal, 1, 10, quick there is someone knocking, 18.7921954388, 0.0, No
ytl, normal, 2, 1, teaching services will help, 24.435771254, 0.0, Yes
ytl, normal, 2, 2, all work and no play, 22.3297357648, 0.0, No
ytl, normal, 2, 3, superman never wore a mask, 16.8834657151, 0.0, No
ytl, normal, 2, 4, the postal service is very show, 17.8681877534, 0.0322580645161, Yes
ytl, normal, 2, 5, shall we play a round of cards, 15.3021375173, 0.0, No
ytl, normal, 2, 6, the children are playing, 19.5401853216, 0.0, Yes
ytl, normal, 2, 7, exceed the maximum speed limit, 15.7583716349, 0.0, No
ytl, normal, 2, 8, the objective of the exercise, 21.0016381278, 0.0, Yes
ytl, normal, 2, 9, saving that child was am heroic effort, 17.5453826858, 0.0263157894737, No
ytl, normal, 2, 10, the union will go on strike, 16.5926074906, 0.0, No
ytl, normal, 3, 1, please provide your date of birth, 22.6787980237, 0.0, No
ytl, normal, 3, 2, obligations must be net first, 23.4250554393, 0.0344827586207, Yes
ytl, normal, 3, 3, traveling to conferences is fun, 21.7035985102, 0.0, Yes
ytl, normal, 3, 4, the back yard of our house, 18.8942372576, 0.0, Yes
ytl, normal, 3, 5, bad for the environment, 17.8418763707, 0.0, Yes
ytl, normal, 3, 6, are you sure you want this, 23.2343721188, 0.0, Yes
ytl, normal, 3, 7, this person is a disaster, 23.0896096756, 0.0, Yes
ytl, normal, 3, 8, my fingers are very cold, 19.2662759894, 0.0, No
ytl, normal, 3, 9, the capital of our nation, 19.1097292788, 0.0, No
ytl, normal, 3, 10, this phenomenon well never occur, 18.5011838555, 0.03125, Yes
ytl, normal, 4, 1, very reluctant to enter, 21.0249671485, 0.0, Yes
ytl, normal, 4, 2, nothing wrong with hits style, 16.7897918066, 0.0344827586207, No
ytl, normal, 4, 3, exercise is good for the mind, 16.6272155187, 0.0, No
ytl, normal, 4, 4, we accept personal checks, 18.9003436426, 0.0, Yes
ytl, normal, 4, 5, you must make an appointment, 14.9556005608, 0.0, No
ytl, normal, 4, 6, please follow the guidelines, 22.7825030377, 0.0, No
ytl, normal, 4, 7, if you come home late the does are locked, 18.3231538034, 0.0487804878049, Yes
ytl, normal, 4, 8, gun powder must be handled with care, 19.9137072685, 0.0, Yes
ytl, normal, 4, 9, the sun rises in the east, 22.2593210907, 0.0, Yes
ytl, normal, 4, 10, express delivery is very fast, 26.7570460221, 0.0, No
ytl, normal, 5, 1, the kids are very excited, 22.9843122948, 0.0, Yes
ytl, normal, 5, 2, the chamber makes important decisions, 21.8217887254, 0.0, Yes
ytl, normal, 5, 3, taking the train is usually faster, 19.9621407675, 0.0, Yes
ytl, normal, 5, 4, accomplished by an adult, 19.4775081156, 0.166666666667, No
ytl, normal, 5, 5, prepare for the exam in advance, 19.8624904507, 0.0, Yes
ytl, normal, 5, 6, elephants are afraid of mice, 19.4017784964, 0.0, No
ytl, normal, 5, 7, the dream rises to the top, 18.6680494851, 0.0384615384615, Yes
ytl, normal, 5, 8, please take a bath this month, 19.7354896183, 0.0, Yes
ytl, normal, 5, 9, reading week is just about here, 21.3071091989, 0.0, No
ytl, normal, 5, 10, would you like to come to my house, 17.9780268561, 0.0, No
ytl, normal, 6, 1, good jobs for those with education, 15.862886316, 0.0, No
ytl, normal, 6, 2, my favorite web browser, 22.1668052092, 0.0, No
ytl, normal, 6, 3, soon we will return from the city, 17.8600959153, 0.0, No
ytl, normal, 6, 4, the punishment should fit the crime, 18.09227058, 0.0, No
ytl, normal, 6, 5, do you like to go camping, 21.2822559191, 0.0, No
ytl, normal, 6, 6, staying up all night is a bad idea, 18.4689049763, 0.0, No
ytl, normal, 6, 7, take a coffee break, 20.5677557579, 0.0, Yes
ytl, normal, 6, 8, the second largest country, 25.5697609783, 0.0, Yes
ytl, normal, 6, 9, universally understood to be wrong, 27.0717401113, 0.0, Yes
ytl, normal, 6, 10, electric cars need big fuel cells, 20.9124292027, 0.0, Yes
ytl, normal, 7, 1, a picture is worth many words, 21.6541353383, 0.0, Yes
ytl, normal, 7, 2, my car always breaks in the winter, 20.3451407811, 0.0, Yes
ytl, normal, 7, 3, back transaction was not registered, 25.1504293151, 0.0285714285714, Yes
ytl, normal, 7, 4, what a monkey sees a monkey will do, 17.4219641191, 0.0, No
ytl, normal, 7, 5, for murder you get a long prison sentence, 18.5437687483, 0.0, Yes
ytl, normal, 7, 6, the assignment is die today, 13.3391329564, 0.037037037037, No
ytl, normal, 7, 7, make up a few more phrases, 18.6708157368, 0.0, Yes
ytl, normal, 7, 8, have a good weekend, 17.4688381403, 0.0, No
ytl, normal, 7, 9, user friendly interface, 24.2051676112, 0.0, No
ytl, normal, 7, 10, you are a capitalist pig, 21.8360476754, 0.0, No
ytl, normal, 8, 1, please try to be home before midnight, 21.84893692, 0.0, Yes
ytl, normal, 8, 2, come and see our new car, 19.7061365601, 0.0, No
ytl, normal, 8, 3, this system of taxation, 16.1561763716, 0.0, No
ytl, normal, 8, 4, do not worry abbot this, 21.1561659089, 0.0869565217391, No
ytl, normal, 8, 5, rapidly running short on words, 20.4335581898, 0.0, No
ytl, normal, 8, 6, this leather jacket is too warm, 16.4340268633, 0.0, No
ytl, normal, 8, 7, healthy food is good for you, 17.3573989057, 0.0, Yes
ytl, normal, 8, 8, players must know all the rules, 15.8407798538, 0.0, Yes
ytl, normal, 8, 9, important news always seems to be late, 17.7498382176, 0.0, No
ytl, normal, 8, 10, for your information only, 23.3835252436, 0.0, Yes
yyk, normal, 1, 1, my watch fell in the water, 19.055684946, 0.0, No
yyk, normal, 1, 2, elephants are afraid of mice, 19.2674360261, 0.0, Yes
yyk, normal, 1, 3, prevailing wins from the east, 23.0726635083, 0.0344827586207, No
yyk, normal, 1, 4, breathing is difficult, 27.5827194263, 0.0, Yes
yyk, normal, 1, 5, my favorite subject is psychology, 17.931858936, 0.0, Yes
yyk, normal, 1, 6, my favorite place to visit, 19.5873305585, 0.0, Yes
yyk, normal, 1, 7, time to go shopping, 19.9769017074, 0.0, Yes
yyk, normal, 1, 8, elections bring out the best, 18.4202110649, 0.0, No
yyk, normal, 1, 9, watch out for low flying objects, 16.6421827969, 0.0, No
yyk, normal, 1, 10, physics and chemistry are hard, 22.4081588681, 0.0, No
yyk, normal, 2, 1, physics and chemistry are hard, 21.2989637235, 0.0, No
yyk, normal, 2, 2, time to go shopping, 22.75825283, 0.0, Yes
yyk, normal, 2, 3, elephants are afraid of mice, 20.5268559699, 0.0, No
yyk, normal, 2, 4, my watch fell in the water, 22.1262248446, 0.0, No
yyk, normal, 2, 5, breathing is difficult, 27.8009452321, 0.0, No
