user, technique, word, rank, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
gyz, normal, chocolate, 1, 9, Match, Yes, 4.0479, 0, 1.89480611146, 0.0471343783029, 0.196358068663, 31.275400321, 7.72632731071
gyz, normal, the, 1, 3, Match, Yes, 0.9289, 0, 0.817431649392, 0.316687132268, 0.298892515519, 5.37816687995, 5.78982331785
gyz, normal, sum, 2, 3, Select, Yes, 1.2275, 2.1066, 0.782716811819, 0.137599890818, 0.950667069708, 6.32489560583, 5.15266444467
gyz, normal, of, 1, 2, Match, Yes, 1.2273, 0, 0.501950715936, 0.227982823741, 0.156993177256, 4.54346161077, 3.70199756439
gyz, normal, the, 2, 3, Select, Yes, 0.9955, 1.1611, 0.629552418847, 0.304695546965, 0.174122104427, 5.75263531128, 5.77863918763
gyz, normal, parts, 1, 5, Match, Yes, 2.9524, 0, 1.29043181303, 0.128790682776, 0.230444499359, 14.9523411201, 5.06446996345
gyz, normal, you, 1, 3, Match, Yes, 0.7468, 0, 0.480467600686, 0.188807672153, 0.0695113139856, 4.86795331279, 6.51841632672
gyz, normal, will, 1, 4, Select, Yes, 1.1445, 2.1893, 1.01125415158, 0.563020668904, 0.0876124267099, 7.3743981818, 6.44333611341
gyz, normal, loose, 1, 5, Select, Yes, 2.1558, 1.3764, 0.485920763662, 0.141339389676, 0.100641436337, 9.15819516276, 4.24816548973
gyz, normal, your, 1, 4, Match, Yes, 2.1558, 0, 0.599262671435, 0.111511011299, 0.209024910027, 6.77972126944, 3.14487488145
gyz, normal, voice, 1, 5, Match, Yes, 1.6752, 0, 0.604208661114, 0.122392346595, 0.237115050661, 12.7096167374, 7.58692498652
gyz, normal, the, 1, 3, Match, Yes, 0.9454, 0, 0.716157420646, 0.204308120458, 0.0727344440138, 6.23237546975, 6.59231591892
gyz, normal, cream, 1, 5, Match, Yes, 1.6588, 0, 0.591898662027, 0.115710327301, 0.139522886474, 11.1923549394, 6.74726003098
gyz, normal, rises, 2, 5, Select, Yes, 1.4431, 2.3056, 1.88057301023, 0.646928233992, 0.227635293276, 12.8847725708, 8.92853757247
gyz, normal, to, 1, 2, Match, Yes, 1.9074, 0, 0.19579673597, 0.00549769497153, 0.1469503169, 4.10799694773, 2.15371550159
gyz, normal, the, 1, 3, Match, Yes, 0.647, 0, 1.08230118416, 0.181053608111, 0.456790688217, 5.5179258409, 8.52847888856
gyz, normal, top, 2, 3, Select, Yes, 0.7299, 1.4927, 0.956780394763, 0.299563551309, 0.28461298369, 5.19085304281, 7.11173180272
gyz, normal, take, 1, 4, Match, Yes, 1.4264, 0, 1.18752459369, 0.167425583783, 0.714538671246, 15.9504434501, 11.1823075225
gyz, normal, it, 1, 2, Match, Yes, 0.6137, 0, 0.514232372502, 0.149037099623, 0.273582714374, 2.91709726778, 4.75329520577
gyz, normal, to, 1, 2, Match, Yes, 0.448, 0, 0.598884684105, 0.354368539148, 0.114789525628, 3.76812976888, 8.4110039484
gyz, normal, the, 1, 3, Match, Yes, 0.7119, 0, 0.646077494404, 0.342802339712, 0.327309578351, 5.48999565994, 7.71175117283
gyz, normal, recycling, 1, 9, Match, Yes, 2.986, 0, 1.5163988273, 0.203206132715, 0.135974900246, 19.9276992085, 6.67371038461
gyz, normal, depot, 29, 5, Match, No, 2.0569, 0, 2.76237759104, 0.0962296755164, 0.171863268981, 16.5491262586, 8.04566398883
gyz, normal, players, 3, 7, Select, No, 2.5216, 2.1063, 1.77204634943, 0.305691799133, 0.48059667644, 22.2986599721, 8.84305995088
gyz, normal, must, 2, 4, Select, Yes, 9.3724, 1.7251, 1.39234818807, 0.591005633707, 0.258155236424, 9.37205596341, 0.999963292583
gyz, normal, know, 1, 4, Match, Yes, 2.4051, 0, 0.619088183825, 0.576113415671, 0.27224345203, 10.3871895768, 4.31881816837
gyz, normal, all, 1, 3, Match, Yes, 0.6967, 0, 0.299554307523, 0.242887702606, 0.181497640321, 7.69101687901, 11.0392089551
gyz, normal, the, 1, 3, Match, Yes, 0.8292, 0, 0.822045222141, 0.396787705707, 0.185862489696, 5.9739120273, 7.20442839762
gyz, normal, rules, 1, 5, Match, Yes, 1.6258, 0, 0.732258406106, 0.00524541037479, 0.257973880432, 13.9046444841, 8.55249383937
gyz, normal, do, 1, 2, Match, Yes, 0.7464, 0, 0.475443744405, 0.127960256244, 0.363131853216, 5.74422102321, 7.69590169241
gyz, normal, you, 1, 3, Match, Yes, 0.6801, 0, 0.439931221489, 0.0614457223979, 0.0863241597816, 5.62258562989, 8.26729250094
gyz, normal, prefer, 1, 6, Match, Yes, 1.7085, 0, 1.05035942815, 0.117005667132, 0.382146069874, 12.946922216, 7.57794686333
gyz, normal, a, 1, 1, Match, Yes, 0.0664, 0, 0.359269213847, 0.144155866325, 0.144155866325, 0, 0.0
gyz, normal, window, -1, 6, Select, Yes, 2.9693, 1.5925, -1, 0.19479234661, 0.998882286873, 25.5982713687, 8.62097846923
gyz, normal, seat, 1, 4, Match, Yes, 1.7419, 0, 0.7050046962, 0.225294775829, 0.0665501333582, 6.09942843497, 3.50159505997
gyz, normal, he, 1, 2, Match, Yes, 0.5309, 0, 0.432334592869, 0.0338839074783, 0.14488924936, 3.55142994473, 6.68945177008
gyz, normal, cooled, 1, 6, Match, Yes, 2.0902, 0, 0.904591629707, 0.148689009806, 0.380159031261, 15.6342529056, 7.47978801339
gyz, normal, off, 1, 3, Select, Yes, 0.6467, 1.4761, 0.841710718792, 0.269721257468, 0.227763178247, 4.7903005959, 7.4072995143
gyz, normal, after, 1, 5, Match, Yes, 2.2224, 0, 1.71198963835, 0.468813671409, 0.0805092670504, 7.88761889272, 3.54914457016
gyz, normal, she, 1, 3, Match, Yes, 1.161, 0, 0.593173451474, 0.288410631108, 0.144796746224, 6.86220287873, 5.91059679477
gyz, normal, left, 1, 4, Match, Yes, 1.2439, 0, 0.543403941236, 0.155594213344, 0.390626364458, 9.05320784878, 7.27808332565
gyz, normal, we, 1, 2, Match, Yes, 0.1825, 0, 0.986511243911, 0.143558386188, 0.562045690972, 0.496994945641, 2.72325997612
gyz, normal, missed, 3, 6, Select, Yes, 1.5426, 2.5209, 2.2376263816, 0.0207936963765, 0.306038997009, 11.8746418038, 7.69781006339
gyz, normal, your, 1, 4, Match, Yes, 1.758, 0, 0.761711136934, 0.0767212551514, 0.166925991137, 7.68777164364, 4.37302141277
gyz, normal, birthday, 1, 8, Match, Yes, 2.7866, 0, 0.923406888479, 0.174045870787, 0.355308685607, 20.5025725285, 7.35755850446
gyz, normal, learn, 1, 5, Match, Yes, 1.8741, 0, 0.685462756775, 0.26374847377, 0.600291300161, 14.7661138164, 7.87904264253
gyz, normal, to, 2, 2, Select, Yes, 0.5969, 1.6255, 1.28851900924, 0.158304303558, 0.310110435458, 4.21303588848, 7.05819381551
gyz, normal, walk, 1, 4, Match, Yes, 2.0729, 0, 1.255945598, 0.720480847688, 0.248295422785, 10.2237330122, 4.93209176138
gyz, normal, before, 1, 6, Match, Yes, 1.6917, 0, 0.734902087346, 0.171993620451, 0.254676615307, 16.2621385347, 9.61289740185
gyz, normal, you, 1, 3, Match, Yes, 0.9451, 0, 0.650299330373, 0.396709837671, 0.154451005099, 6.25589590245, 6.61929520944
gyz, normal, run, 1, 3, Match, Yes, 0.7464, 0, 0.893321854606, 0.380731821134, 0.38637904788, 4.60237194444, 6.16609317316
gyz, normal, traveling, 1, 9, Match, Yes, 2.8192, 0, 1.11249962484, 0.100506868129, 0.271138225673, 25.8643788991, 9.17436822472
gyz, normal, to, 1, 2, Match, Yes, 10.6468, 0, 0.829259961299, 0.181299126013, 0.071470168602, 4.16893746857, 0.391567181554
gyz, normal, conferences, 1, 11, Match, Yes, 4.2294, 0, 1.4150385554, 0.351431567441, 0.34076360621, 27.3755553534, 6.47268060562
gyz, normal, is, 1, 2, Match, Yes, 0.6136, 0, 0.569439007756, 0.367982428485, 0.323322991403, 5.28117352802, 8.60686689704
gyz, normal, fun, 2, 3, Match, Yes, 3.2505, 0, 1.4155693887, 0.0770187219447, 0.483079493878, 5.713555682, 1.75774671035
gyz, normal, the, 1, 3, Match, Yes, 0.9289, 0, 0.610150096723, 0.0989366197624, 0.176228569162, 5.91542036169, 6.36819933436
gyz, normal, capital, 1, 7, Match, Yes, 3.3167, 0, 1.56038828861, 0.82567089731, 0.015092866792, 27.6596765636, 8.33951715971
gyz, normal, of, 1, 2, Match, Yes, 0.5635, 0, 1.00709636203, 0.279357299403, 0.255318760887, 4.55884877491, 8.09023740002
gyz, normal, our, 1, 3, Match, Yes, 0.5308, 0, 0.973716290113, 0.372193282198, 0.342453688577, 4.95554382112, 9.33599062005
gyz, normal, nation, 1, 6, Select, Yes, 1.8238, 1.8903, 1.68021353971, 0.31894926584, 0.199395918138, 15.5552128013, 8.52901239244
gyz, normal, the, 1, 3, Match, Yes, 0.7463, 0, 0.452890474249, 0.2053857357, 0.223890140151, 5.23862771142, 7.01946631571
gyz, normal, living, 3, 6, Select, Yes, 1.8744, 1.4098, 2.13160200256, 0.281300412232, 0.16582495741, 15.0764008916, 8.04332100492
gyz, normal, is, 1, 2, Match, Yes, 1.4099, 0, 0.876986637443, 0.204960004455, 0.332307102905, 5.56315662348, 3.94578099403
gyz, normal, easy, 1, 4, Match, Yes, 1.0614, 0, 0.562138712122, 0.119638848181, 0.159092581002, 6.83496786587, 6.43957778959
gyz, normal, most, 1, 4, Match, Yes, 1.2605, 0, 0.593433389301, 0.326970351281, 0.0332004232654, 10.768113738, 8.54273204129
gyz, normal, judges, 1, 6, Match, Yes, 1.7914, 0, 1.39254417881, 0.287043338418, 0.233891985177, 12.3789971597, 6.91023621731
gyz, normal, are, 1, 3, Match, Yes, 0.6964, 0, 0.647306961654, 0.0359600296162, 0.536084343876, 3.77690003897, 5.42346358266
gyz, normal, very, 1, 4, Match, Yes, 1.1109, 0, 1.30234626268, 0.493961122837, 0.114187672618, 6.96022011402, 6.26538852644
gyz, normal, honest, 1, 6, Match, Yes, 1.9408, 0, 0.929711842731, 0.0750924163748, 0.363687594446, 14.4385664272, 7.43949218218
gyz, normal, sad, 2, 3, Select, Yes, 0.8293, 1.3101, 1.60789044101, 0.478686998982, 0.19830748328, 4.446632578, 5.36191074159
gyz, normal, to, 1, 2, Match, Yes, 1.8408, 0, 0.691053887441, 0.090808031919, 0.08620940295, 4.27502637322, 2.32237417059
gyz, normal, hear, 1, 4, Match, Yes, 1.2937, 0, 0.839607474657, 0.278117752143, 0.281918496864, 9.10745817811, 7.0398532721
gyz, normal, that, 2, 4, Select, Yes, 1.443, 1.5425, 1.32599159385, 0.200246996567, 0.25778347571, 9.56899743326, 6.63132185257
gyz, normal, news, 2, 4, Select, Yes, 1.8408, 2.0564, 1.45436627402, 0.287311025427, 0.251918018937, 6.85026748145, 3.72135347754
gyz, normal, this, 1, 4, Match, Yes, 1.2936, 0, 0.914503756414, 0.363610655445, 0.11629103502, 10.5802436413, 8.1789143795
gyz, normal, is, 1, 2, Match, Yes, 0.5308, 0, 0.826575774909, 0.133354682985, 0.39072825659, 5.85552212404, 11.0315036248
gyz, normal, a, 1, 1, Match, Yes, 0.0166, 0, 1.14294143577, 0.431360175691, 0.431360175691, 0, 0.0
gyz, normal, very, 1, 4, Match, Yes, 0.8293, 0, 0.880970884086, 0.332560928591, 0.22093757027, 5.55843037326, 6.70255682293
gyz, normal, good, 1, 4, Select, Yes, 1.1445, 1.4595, 0.696292643715, 0.0910757420228, 0.347337705759, 8.97626023981, 7.84295346423
gyz, normal, idea, 1, 4, Match, Yes, 12.2061, 0, 1.37192988649, 0.312591030661, 0.270674239436, 7.55842427634, 0.619233356792
gyz, normal, do, 1, 2, Match, Yes, 0.6136, 0, 0.664961864493, 0.0390645175319, 0.492239687348, 6.07245655617, 9.89644158437
gyz, normal, you, 1, 3, Match, Yes, 0.8127, 0, 0.449015495064, 0.056804208242, 0.132818668661, 5.6462191943, 6.94748270493
gyz, normal, like, 2, 4, Match, Yes, 1.1942, 0, 1.47395427073, 0.785526399944, 0.181200216526, 8.26043776181, 6.91713093436
gyz, normal, to, 1, 2, Match, Yes, 0.6303, 0, 0.914767505437, 0.348088360887, 0.251163854203, 4.1986694195, 6.6613825472
gyz, normal, go, 1, 2, Match, Yes, 0.5475, 0, 0.57240039071, 0.374081573683, 0.05755692272, 3.34649332075, 6.11231656758
gyz, normal, camping, 1, 7, Match, Yes, 2.9686, 0, 1.95678686243, 0.296960626757, 0.928248736097, 18.7463751243, 6.31488753093
gyz, normal, did, 1, 3, Match, Yes, 1.6915, 0, 0.49534534921, 0.17428196061, 0.215737986757, 8.80235153531, 5.20387321035
gyz, normal, you, 1, 3, Match, Yes, 0.8457, 0, 0.700611034337, 0.283368513277, 0.117417234548, 5.1762115589, 6.12062381329
gyz, normal, see, 1, 3, Match, Yes, 0.4146, 0, 0.527493944032, 0.111494845428, 0.138676745134, 1.07832371043, 2.60087725621
gyz, normal, that, 1, 4, Match, Yes, 1.4426, 0, 1.12327097422, 0.218329444109, 0.124077205743, 9.43752236083, 6.54202298685
gyz, normal, spectacular, 1, 11, Match, Yes, 4.5595, 0, 1.4576724556, 0.127726003633, 0.649811741908, 42.1211767447, 9.23811311431
gyz, normal, explosion, 1, 9, Match, Yes, 3.366, 0, 1.70242197621, 0.142082732969, 0.407198264163, 28.0978815244, 8.34755838514
gyz, normal, be, 1, 2, Match, Yes, 0.5473, 0, 0.982424071278, 0.233673312137, 0.434643669341, 3.58910624031, 6.55784074604
gyz, normal, home, 1, 4, Match, Yes, 1.3433, 0, 1.04488527865, 0.0429857269916, 0.360217015546, 11.7034304646, 8.71244730483
gyz, normal, before, 1, 6, Match, Yes, 1.8243, 0, 0.722480484251, 0.238649977241, 0.14661552457, 15.9208216727, 8.72708527803
gyz, normal, midnight, 1, 8, Match, Yes, 3.1176, 0, 1.87249478707, 0.616182251359, 0.242516795501, 18.9284961222, 6.07149606178
gyz, normal, no, 1, 2, Match, Yes, 0.6301, 0, 0.653961865805, 0.178069877082, 0.0349805684488, 3.31438424037, 5.26009243036
gyz, normal, exchange, 1, 8, Match, Yes, 3.3988, 0, 1.25722326077, 0.289188164407, 0.642839716433, 20.7908887615, 6.11712626853
gyz, normal, without, 1, 7, Match, Yes, 2.1557, 0, 0.747804847649, 0.146528514266, 0.178390194624, 17.9176845435, 8.31177090668
gyz, normal, a, 1, 1, Match, Yes, 0.0666000000001, 0, 0.546258569421, 0.203485658854, 0.203485658854, 0, 0.0
gyz, normal, bill, 2, 4, Select, Yes, 1.1114, 1.3099, 0.846898915082, 0.0401378071773, 0.212893249628, 4.47088804478, 4.02275332444
gyz, normal, make, 2, 4, Match, Yes, 1.6412, 0, 1.60112486599, 0.992447625109, 0.15339080536, 17.0282201015, 10.3754692307
gyz, normal, up, 1, 2, Match, Yes, 0.5138, 0, 0.544287615668, 0.309329849295, 0.144312923666, 2.69999937579, 5.25496180574
gyz, normal, a, 1, 1, Match, Yes, 0.0166999999999, 0, 0.621560689106, 0.1470731311, 0.1470731311, 0, 0.0
gyz, normal, few, 1, 3, Match, Yes, 0.7128, 0, 0.476752004763, 0.263628977637, 0.143431140559, 2.69529557648, 3.78127886711
gyz, normal, more, 1, 4, Match, Yes, 1.2267, 0, 1.12337937481, 0.183890573703, 0.186785604547, 8.65771685034, 7.05772955926
gyz, normal, phrases, 1, 7, Match, Yes, 4.741, 0, 1.19913976575, 0.248452520265, 0.113146907837, 13.0222590087, 2.74673254772
gyz, normal, user, 1, 4, Match, Yes, 0.862, 0, 1.0953989838, 0.379421612227, 0.129613506029, 7.05794878897, 8.18787562526
gyz, normal, friendly, 1, 8, Match, Yes, 2.9509, 0, 1.12923316957, 0.271021059316, 0.0506885705559, 29.8593736734, 10.1187345127
gyz, normal, interface, 1, 9, Match, Yes, 2.6528, 0, 1.21767917057, 0.115374088053, 0.170300232672, 18.6352516384, 7.02474805429
gyz, normal, pay, 2, 3, Select, Yes, 1.5253, 1.7408, 0.848413894077, 0.107895179429, 0.195170105646, 12.3709520846, 8.11050421856
gyz, normal, off, 3, 3, Select, Yes, 1.1607, 1.9562, 1.172106421, 0.446471009877, 0.472598766952, 4.65841812437, 4.01345578045
gyz, normal, a, 1, 1, Match, Yes, 0.7959, 0, 0.547034486757, 0.164999686778, 0.164999686778, 0, 0.0
gyz, normal, mortgage, 1, 8, Match, Yes, 3.2497, 0, 1.8341151319, 0.154024776091, 0.312409835538, 19.8652845913, 6.11295953206
gyz, normal, for, 2, 3, Select, Yes, 1.0447, 1.194, 0.320074790781, 0.130374320731, 0.032038131812, 9.63166357475, 9.21954970303
gyz, normal, a, 1, 1, Match, Yes, 0.6468, 0, 1.30047410664, 0.505993640852, 0.505993640852, 0, 0.0
gyz, normal, house, 1, 5, Match, Yes, 0.9783, 0, 0.995455517842, 0.157892243945, 0.452295487054, 10.8590748584, 11.0999436352
gyz, normal, this, 1, 4, Match, Yes, 1.1441, 0, 0.433432558271, 0.165123839212, 0.0900903769167, 9.02584591336, 7.88903584771
gyz, normal, leather, 1, 7, Match, Yes, 2.1217, 0, 1.23188868002, 0.185838194043, 0.291627975702, 18.5704590303, 8.75263186608
