user, technique, session, word, len, class, correct, dwell_duration, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
gyz, normal, 7, my, 2, Match, Yes, 0, 0.548, 0, 0.236431172253, 0.368847439053, 0.0701881175485, 2.66508864883, 4.86330045407
gyz, normal, 7, favorite, 8, Match, Yes, 0.547, 2.688, 0, 0.418539558511, 0.44623327213, 0.555767874259, 27.040111278, 10.0595652076
gyz, normal, 7, place, 5, Match, Yes, 0.962, 1.244, 0, 0.207054256783, 0.189845809817, 0.211301399865, 14.1048418889, 11.3382973384
gyz, normal, 7, to, 2, Match, Yes, 0.53, 0.448, 0, 0.270175648415, 0.328899201434, 0.378845246359, 4.67860708887, 10.4433193948
gyz, normal, 7, visit, 5, Match, Yes, 0.713, 1.576, 0, 0.782334516645, 0.545280470235, 0.852827054304, 13.8100046187, 8.76269328595
gyz, normal, 7, elections, 9, Match, Yes, 0, 2.77, 0, 0.401412257914, 0.483941993791, 0.24830548863, 30.2418977363, 10.9176526124
gyz, normal, 7, bring, 5, Match, Yes, 0.531, 1.526, 0, 0.178092624849, 0.296860203545, 0.219874545514, 11.0100621543, 7.21498175252
gyz, normal, 7, out, 3, Match, No, 0.481, 0.681, 0, 0.657380330801, 0.282740215684, 1.02757315942, 4.76699952272, 6.99999929914
gyz, normal, 7, the, 3, Match, Yes, 1.824, 0.581, 0, 0.297255226743, 0.15150094701, 0.255896489589, 5.9189784624, 10.1875705033
gyz, normal, 7, best, 4, Match, Yes, 0.714, 0.763, 0, 0.327379736053, 0.369767607485, 0.410679494467, 6.83093851775, 8.95273724475
gyz, normal, 7, my, 2, Match, Yes, 0, 0.465, 0, 0.167987491601, 0.302233767506, 0.214836662649, 2.48537457248, 5.34489155371
gyz, normal, 7, favorite, 8, Match, Yes, 0.497, 2.97, 0, 0.631762077015, 0.230704155186, 0.118218283717, 22.9870967534, 7.73976321665
gyz, normal, 7, subject, 7, Match, Yes, 1.111, 2.024, 0, 0.518285226194, 0.517807396876, 0.379174469143, 17.5139865352, 8.65315540277
gyz, normal, 7, is, 2, Match, Yes, 0.962, 0.498, 0, 0.315080824088, 0.171729435689, 0.517979797259, 6.16814747258, 12.3858382983
gyz, normal, 7, psychology, 10, Match, Yes, 0.879, 2.969, 0, 0.338589161109, 0.117067173439, 0.380365260203, 26.2295282958, 8.83446557623
gyz, normal, 7, prevailing, 10, Match, Yes, 0, 2.87, 0, 0.417457124101, 0.330825757046, 0.101844863356, 27.1311831382, 9.45337391576
gyz, normal, 7, wind, 4, Match, Yes, 0.979, 1.277, 0, 0.410657083058, 0.25960568728, 0.38943982226, 12.8805178866, 10.0865449386
gyz, normal, 7, from, 4, Match, Yes, 0.68, 1.361, 0, 0.70368371874, 0.140365138101, 0.828104520505, 10.4008005422, 7.642028319
gyz, normal, 7, the, 3, Match, Yes, 0.878, 0.747, 0, 0.612507476276, 0.353949564105, 0.402413704256, 4.89333644499, 6.55065119812
gyz, normal, 7, east, 4, Match, Yes, 0.481, 0.979, 0, 0.346510101969, 0.352107988983, 0.478989779233, 6.09182812783, 6.22250064129
gyz, normal, 7, my, 2, Match, Yes, 0, 0.431, 0, 0.0788914201553, 0.124952866538, 0.0626450424615, 2.77870871161, 6.44711998054
gyz, normal, 7, watch, 5, Match, Yes, 0.847, 1.161, 0, 0.572420700617, 0.706998837604, 0.330839392313, 11.9122876433, 10.2603683405
gyz, normal, 7, fell, 4, Match, Yes, 0.514, 0.896, 0, 0.425304201581, 0.256309454859, 0.310576711517, 8.83523201002, 9.86075001119
gyz, normal, 7, in, 2, Match, Yes, 0.498, 0.581, 0, 0.199467583797, 0.231844045395, 0.243401660668, 2.52075275289, 4.33864501359
gyz, normal, 7, the, 3, Match, Yes, 0.514, 0.796, 0, 0.27050641403, 0.520334213184, 0.0722051644967, 5.14112181312, 6.45869574513
