technique, size, speed, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, 0.8, 2.0, you, 3, Match, Yes, 1.426, 0, 0.170022325844, 0.332181212806, 0.262278488643, 4.44063368676, 3.11404886869
normal, 0.8, 2.0, have, 4, Select, Yes, 2.505, 2.355, 0.607195099032, 0.10646603827, 0.178505962483, 12.6112890953, 5.03444674463
normal, 0.8, 2.0, my, 2, Match, Yes, 2.489, 0, 0.725215494395, 0.267512717658, 0.199333056177, 5.0229565015, 2.01806207372
normal, 0.8, 2.0, sympathy, 8, Match, Yes, 5.026, 0, 0.309040411363, 0.22491732981, 0.506124574318, 25.9487989223, 5.16291263873
normal, 0.8, 2.0, sign, 4, Match, Yes, 2.704, 0, 0.52502466101, 0.694037423781, 0.290298010749, 10.5739666298, 3.91049061754
normal, 0.8, 2.0, the, 3, Match, Yes, 1.293, 0, 0.210779359855, 0.0790497243575, 0.203115687361, 5.89979797721, 4.56287546575
normal, 0.8, 2.0, withdrawal, 10, Match, Yes, 6.302, 0, 0.523161484006, 0.262889401635, 0.314751078594, 30.2833808032, 4.80536033056
normal, 0.8, 2.0, slip, 4, Match, Yes, 2.421, 0, 0.594064676594, 0.211599924102, 0.335402846046, 13.3124368473, 5.49873475723
normal, 0.8, 2.0, electric, 8, Match, Yes, 5.29, 0, 0.398078441869, 0.264096265589, 0.470789852917, 27.9484991565, 5.28327016192
normal, 0.8, 2.0, cars, 4, Match, Yes, 3.035, 0, 0.16572423713, 0.168709459157, 0.0993623653603, 7.98193269669, 2.62996134982
normal, 0.8, 2.0, need, 4, Match, Yes, 1.576, 0, 0.188229797728, 0.150927749238, 0.35677675758, 6.10154216275, 3.8715369053
normal, 0.8, 2.0, big, 3, Match, Yes, 1.526, 0, 0.39881967587, 0.184967855597, 0.300085826705, 5.63794057268, 3.69458753125
normal, 0.8, 2.0, fuel, 4, Match, Yes, 2.919, 0, 0.315881084989, 0.292683523834, 0.244729589453, 12.3225466175, 4.22149592927
normal, 0.8, 2.0, cells, 5, Match, Yes, 2.986, 0, 0.351052051854, 0.28352780376, 0.168049120405, 16.1719293127, 5.41591738535
normal, 0.8, 2.0, effort, 6, Match, Yes, 3.549, 0, 0.513891392086, 0.104716672159, 0.125186932106, 14.4651884391, 4.07584909527
normal, 0.8, 2.0, is, 2, Match, Yes, 1.095, 0, 0.208134397938, 0.120207336586, 0.419817738059, 5.68452853176, 5.19135025731
normal, 0.8, 2.0, what, 4, Match, Yes, 3.135, 0, 0.373472903937, 0.434292949363, 0.229940910455, 13.7921314639, 4.39940397572
normal, 0.8, 2.0, it, 2, Match, Yes, 0.913, 0, 0.101884403629, 0.0770072442112, 0.219360630444, 2.72988737858, 2.99001903459
normal, 0.8, 2.0, will, 4, Select, Yes, 1.957, 1.973, 0.204247067952, 0.146910487893, 0.208192069998, 8.2043579437, 4.19231371676
normal, 0.8, 2.0, take, 4, Select, Yes, 4.246, 1.874, 0.369397018359, 0.106852610249, 0.154019551778, 16.8731800897, 3.97390016244
normal, 0.8, 2.0, fish, 4, Match, Yes, 2.206, 0, 0.306764289988, 0.144828124786, 0.0825933681599, 15.1484663212, 6.86693849557
normal, 0.8, 2.0, are, 3, Match, Yes, 1.161, 0, 0.304911996341, 0.253258072023, 0.277565265208, 3.45158199047, 2.97293883761
normal, 0.8, 2.0, jumping, 7, Match, Yes, 3.483, 0, 0.476063018522, 0.393952733523, 0.626320044249, 12.8096900211, 3.67777491274
normal, 0.8, 2.0, the, 3, Match, Yes, 1.41, 0, 0.262797514209, 0.401885764312, 0.327153198213, 5.88954355312, 4.17698124335
normal, 0.8, 2.0, quick, 5, Match, Yes, 2.686, 0, 0.238469088393, 0.214424235555, 0.402639763327, 15.7096346303, 5.84870984003
normal, 0.8, 2.0, brown, 5, Match, Yes, 3.582, 0, 0.445848761131, 0.523556436899, 0.210038425515, 21.7087692473, 6.06051626111
